N_STOREY,Htip,LBAYS,NBAYS,VbMax_W
10,3.2,6,5,0.168752118
10,3.2,6,3,0.17340564
12,3.2,6,5,0.138107695
12,3.2,6,3,0.144312393
14,3.2,6,5,0.11883205
14,3.2,6,3,0.122423701
16,3.2,6,5,0.102455154
16,3.2,6,3,0.105957787
20,3.2,6,5,0.079206162
20,3.2,6,3,0.087431927
30,3.2,6,3,0.063233089
6,3.2,6,5,0.207056634
6,3.2,6,3,0.229206471
7,3.2,6,5,0.200936542
7,3.2,6,3,0.21295682
8,3.2,6,5,0.193659179
8,3.2,6,3,0.211506891
10,3.2,6,5,0.166362042
10,3.2,6,3,0.177635042
12,3.2,6,5,0.139800541
12,3.2,6,3,0.147746344
14,3.2,6,5,0.119741015
16,3.2,6,5,0.101002043
16,3.2,6,3,0.107916166
20,3.2,6,5,0.079791538
20,3.2,6,3,0.081709556
30,3.2,6,3,0.055659274
6,3.2,6,5,0.268262802
6,3.2,6,3,0.288396214
7,3.2,6,5,0.263283627
7,3.2,6,3,0.255488923
8,3.2,6,5,0.244444225
8,3.2,6,3,0.276777227
10,3.2,6,5,0.176425394
10,3.2,6,3,0.198861013
12,3.2,6,5,0.140039899
12,3.2,6,3,0.153279262
14,3.2,6,5,0.120183308
14,3.2,6,3,0.132411568
16,3.2,6,5,0.102201582
16,3.2,6,3,0.11162651
20,3.2,6,3,0.083080577
30,3.2,6,3,0.056204615
2,3,4,3,0.137808896
2,3,8,3,0.153992808
2,3,4,4,0.204417082
2,3,6,4,0.204907221
2,3,4,5,0.145077491
2,3,6,5,0.063624088
3,3,4,3,0.150144424
3,3,8,3,0.102158278
3,3,4,4,0.150840028
3,3,6,4,0.185257637
3,3,4,5,0.145850953
3,3,6,5,0.077380795
4,3,4,3,0.10441921
4,3,8,3,0.078866129
4,3,4,4,0.099175073
4,3,6,4,0.12955406
4,3,4,5,0.101802731
4,3,6,5,0.041920802
5,3,4,3,0.088483507
5,3,8,3,0.068892914
5,3,4,4,0.080063727
5,3,6,4,0.093906301
5,3,4,5,0.086650114
5,3,6,5,0.101955894
6,3,4,3,0.068300558
6,3,8,3,0.108355621
6,3,4,4,0.05916548
6,3,6,4,0.0714034
6,3,4,5,0.073153403
6,3,6,5,0.068523412
7,3,4,3,0.071445469
7,3,8,3,0.098535857
7,3,4,4,0.044782357
7,3,6,4,0.056211552
7,3,4,5,0.057677067
7,3,6,5,0.055889696
8,3,4,3,0.048562579
8,3,8,3,0.083694443
8,3,4,4,0.035968724
8,3,6,4,0.046050666
8,3,4,5,0.05118735
8,3,6,5,0.050274835
10,3,4,3,0.032490667
10,3,8,3,0.062944118
10,3,4,4,0.0243151
10,3,6,4,0.032025051
10,3,4,5,0.037587728
10,3,6,5,0.050116942
6,3,6,5,0.121562631
7,3,6,5,0.111356412
8,3,6,5,0.112122539
10,3,6,5,0.10756488
6,3,4,5,0.125093124
7,3,4,5,0.110428616
8,3,4,5,0.106516275
10,3,4,5,0.101869344
6,3,4,3,0.11910546
7,3,4,3,0.106693467
8,3,4,3,0.098455111
10,3,4,3,0.094445616
6,3,8,3,0.115558228
7,3,8,3,0.116405092
8,3,8,3,0.112030019
10,3,8,3,0.099494546
6,3.2,8,5,0.219942503
6,3.2,8,3,0.240427226
7,3.2,8,5,0.20868181
7,3.2,8,3,0.210583548
8,3.2,8,5,0.200829004
8,3.2,8,3,0.206502552
10,3.2,8,5,0.175719647
10,3.2,8,3,0.17797834
12,3.2,8,5,0.147366728
12,3.2,8,3,0.153781438
14,3.2,8,5,0.125593261
14,3.2,8,3,0.131121696
16,3.2,8,5,0.112425248
16,3.2,8,3,0.117744303
6,3.2,8,3,0.221066587
7,3.2,8,3,0.224078259
8,3.2,8,3,0.220670022
10,3.2,8,5,0.18212359
10,3.2,8,3,0.187216814
12,3.2,8,5,0.150826652
12,3.2,8,3,0.158693981
14,3.2,8,5,0.127277612
14,3.2,8,3,0.130714611
16,3.2,8,5,0.112244104
16,3.2,8,3,0.11254769
6,3.2,8,5,0.267265596
6,3.2,8,3,0.284646048
7,3.2,8,5,0.265363319
7,3.2,8,3,0.303314238
8,3.2,8,5,0.252420694
8,3.2,8,3,0.285636311
10,3.2,8,5,0.182112289
10,3.2,8,3,0.221483784
12,3.2,8,5,0.178417384
12,3.2,8,3,0.147790771
14,3.2,8,5,0.144711505
14,3.2,8,3,0.124450897
16,3.2,8,5,0.121852104
16,3.2,8,3,0.121869331
