CODIGO INTERNO,N_STORY,Htip,SYSTEM,LBAYS (m),NBAYS,VbMax_W
300.1,8,2.9,1,8,3,0.168251808
301,10,2.9,1,4,5,0.105246217
303.1,10,2.9,1,8,5,0.138180946
304,10,2.9,1,4,3,0.106052084
306.1,10,2.9,1,8,3,0.14669235
331,2,2.9,1,4,5,0.452620687
333,2,2.9,1,8,5,0.448897071
334,2,2.9,1,4,3,0.324992607
336,2,2.9,1,8,3,0.504154147
337.1,3,2.9,1,4,5,0.230501044
339,3,2.9,1,8,5,0.333504333
340,3,2.9,1,4,3,0.265323794
342.1,3,2.9,1,8,3,0.355321689
343,4,2.9,1,4,5,0.228319661
345,4,2.9,1,8,5,0.304265189
346.1,4,2.9,1,4,3,0.259593665
348,4,2.9,1,8,3,0.344447836
349,5,2.9,1,4,5,0.201897093
351,5,2.9,1,8,5,0.295439988
352,5,2.9,1,4,3,0.20865266
354.1,5,2.9,1,8,3,0.295934007
355,6,2.9,1,4,5,0.182687061
357,6,2.9,1,8,5,0.24359845
358,6,2.9,1,4,3,0.179266478
360.1,6,2.9,1,8,3,0.269628043
361,7,2.9,1,4,5,0.153113898
363.1,7,2.9,1,8,5,0.219129338
364,7,2.9,1,4,3,0.159721247
366.1,7,2.9,1,8,3,0.226714154
367,8,2.9,1,4,5,0.133230927
369.1,8,2.9,1,8,5,0.193901981
370,8,2.9,1,4,3,0.138888166
372.1,8,2.9,1,8,3,0.20594922
373,10,2.9,1,4,5,0.111770916
375.2,10,2.9,1,8,5,0.166012512
376,10,2.9,1,4,3,0.115585541
378.1,10,2.9,1,8,3,0.173664596
473,6,3.2,2,6,5,0.215017314
474,6,3.2,2,6,3,0.214642355
475,7,3.2,2,6,5,0.201207203
476,7,3.2,2,6,3,0.19631868
477,8,3.2,2,6,5,0.193275293
478,8,3.2,2,6,3,0.196928075
479,10,3.2,2,6,5,0.168752118
480,10,3.2,2,6,3,0.17340564
481,12,3.2,2,6,5,0.138107695
482,12,3.2,2,6,3,0.144312393
483,14,3.2,2,6,5,0.11883205
484,14,3.2,2,6,3,0.122423701
485,16,3.2,2,6,5,0.102455154
486,16,3.2,2,6,3,0.105957787
487,20,3.2,2,6,5,0.079206162
488,20,3.2,2,6,3,0.087431927
490,30,3.2,2,6,3,0.063233089
495,6,3.2,2,6,5,0.207056634
496,6,3.2,2,6,3,0.229206471
497,7,3.2,2,6,5,0.200936542
498,7,3.2,2,6,3,0.21295682
499,8,3.2,2,6,5,0.193659179
500,8,3.2,2,6,3,0.211506891
501,10,3.2,2,6,5,0.166362042
502,10,3.2,2,6,3,0.177635042
