CODIGO INTERNO,# STOREY,Codigo,SYSTEM,Detailing,LBAYS (m),NBAYS,VbMax_W,SDR_at_0.8_Vb_W,Push_data
607,5,PRE84,F,OMF,8,3,0.068892914,0.609371076,F_PRE84__5P_3L8PushData
609,5,PRE84,F,OMF,4,4,0.080063727,4.88456799,F_PRE84__5P_4L4PushData
611,5,PRE84,F,OMF,6,4,0.093906301,3.748970514,F_PRE84__5P_4L6PushData
616,5,PRE84,F,OMF,4,5,0.086650114,2.816008444,F_PRE84__5P_5L4PushData
617,5,PRE84,F,OMF,6,5,0.101955894,1.655727244,F_PRE84__5P_5L6PushData
618,6,PRE84,F,OMF,4,3,0.068300558,2.747665691,F_PRE84__6P_3L4PushData
620,6,PRE84,F,OMF,8,3,0.108355621,1.783778333,F_PRE84__6P_3L8PushData
622,6,PRE84,F,OMF,4,4,0.05916548,5.324402507,F_PRE84__6P_4L4PushData
624,6,PRE84,F,OMF,6,4,0.0714034,4.141743537,F_PRE84__6P_4L6PushData
629,6,PRE84,F,OMF,4,5,0.073153403,2.853703422,F_PRE84__6P_5L4PushData
630,6,PRE84,F,OMF,6,5,0.068523412,1.795625446,F_PRE84__6P_5L6PushData
631,7,PRE84,F,OMF,4,3,0.071445469,2.512714337,F_PRE84__7P_3L4PushData
633,7,PRE84,F,OMF,8,3,0.098535857,1.61883738,F_PRE84__7P_3L8PushData
635,7,PRE84,F,OMF,4,4,0.044782357,5.278135663,F_PRE84__7P_4L4PushData
637,7,PRE84,F,OMF,6,4,0.056211552,4.123079555,F_PRE84__7P_4L6PushData
642,7,PRE84,F,OMF,4,5,0.057677067,2.827390613,F_PRE84__7P_5L4PushData
644,8,PRE84,F,OMF,4,3,0.048562579,3.130934247,F_PRE84__8P_3L4PushData
646,8,PRE84,F,OMF,8,3,0.083694443,1.615116072,F_PRE84__8P_3L8PushData
648,8,PRE84,F,OMF,4,4,0.035968724,4.898471979,F_PRE84__8P_4L4PushData
650,8,PRE84,F,OMF,6,4,0.046050666,4.134802109,F_PRE84__8P_4L6PushData
655,8,PRE84,F,OMF,4,5,0.05118735,2.844961886,F_PRE84__8P_5L4PushData
656,8,PRE84,F,OMF,6,5,0.050274835,2.104291943,F_PRE84__8P_5L6PushData
657,10,PRE84,F,OMF,4,3,0.032490667,3.465943771,F_PRE84__10P_3L4PushData
659,10,PRE84,F,OMF,8,3,0.062944118,1.599876447,F_PRE84__10P_3L8PushData
661,10,PRE84,F,OMF,4,4,0.0243151,3.826376623,F_PRE84__10P_4L4PushData
663,10,PRE84,F,OMF,6,4,0.032025051,3.880642447,F_PRE84__10P_4L6PushData
668,10,PRE84,F,OMF,4,5,0.037587728,2.821753362,F_PRE84__10P_5L4PushData
669,10,PRE84,F,OMF,6,5,0.050116942,2.297602499,F_PRE84__10P_5L6PushData
709,6,PRE84S,F,OMF,6,5,0.121562631,1.878525197,F_PRE84S__6P_5L6PushData
710,7,PRE84S,F,OMF,6,5,0.111356412,1.005314397,F_PRE84S__7P_5L6PushData
711,8,PRE84S,F,OMF,6,5,0.112122539,2.300304767,F_PRE84S__8P_5L6PushData
712,10,PRE84S,F,OMF,6,5,0.10756488,1.612899912,F_PRE84S__10P_5L6PushData
713,6,PRE84S,F,OMF,4,5,0.125093124,1.944137196,F_PRE84S__6P_5L4PushData
714,7,PRE84S,F,OMF,4,5,0.110428616,1.857783207,F_PRE84S__7P_5L4PushData
715,8,PRE84S,F,OMF,4,5,0.106516275,1.923522318,F_PRE84S__8P_5L4PushData
716,10,PRE84S,F,OMF,4,5,0.101869344,1.763385662,F_PRE84S__10P_5L4PushData
717,6,PRE84S,F,OMF,4,3,0.11910546,2.214809597,F_PRE84S__6P_3L4PushData
718,7,PRE84S,F,OMF,4,3,0.106693467,2.143682921,F_PRE84S__7P_3L4PushData
719,8,PRE84S,F,OMF,4,3,0.098455111,2.819161066,F_PRE84S__8P_3L4PushData
720,10,PRE84S,F,OMF,4,3,0.094445616,3.258804523,F_PRE84S__10P_3L4PushData
721,6,PRE84S,F,OMF,8,3,0.115558228,1.660965538,F_PRE84S__6P_3L8PushData
722,7,PRE84S,F,OMF,8,3,0.116405092,1.771651934,F_PRE84S__7P_3L8PushData
723,8,PRE84S,F,OMF,8,3,0.112030019,1.778848652,F_PRE84S__8P_3L8PushData
724,10,PRE84S,F,OMF,8,3,0.099494546,1.507748208,F_PRE84S__10P_3L8PushData
800,6,NSR98-10,WF,OMF,8,5,0.222570737,2.111226001,WF_NSR98-10_Baja_6P_5L8PushData
801,6,NSR98-10,WF,OMF,8,3,0.248034999,2.551273125,WF_NSR98-10_Baja_6P_3L8PushData
802,7,NSR98-10,WF,OMF,8,5,0.212579049,1.91438842,WF_NSR98-10_Baja_7P_5L8PushData
803,7,NSR98-10,WF,OMF,8,3,0.214762175,2.527665589,WF_NSR98-10_Baja_7P_3L8PushData
804,8,NSR98-10,WF,OMF,8,5,0.201520735,2.339243925,WF_NSR98-10_Baja_8P_5L8PushData
805,8,NSR98-10,WF,OMF,8,3,0.205855554,2.408135189,WF_NSR98-10_Baja_8P_3L8PushData
806,10,NSR98-10,WF,OMF,8,5,0.174773206,2.603381075,WF_NSR98-10_Baja_10P_5L8PushData
807,10,NSR98-10,WF,OMF,8,3,0.176996537,2.087697289,WF_NSR98-10_Baja_10P_3L8PushData
812,16,NSR98-10,WF,OMF,8,5,0.107563265,1.928323807,WF_NSR98-10_Baja_16P_5L8PushData
813,16,NSR98-10,WF,OMF,8,3,0.115771553,2.654096611,WF_NSR98-10_Baja_16P_3L8PushData
815,20,NSR98-10,WF,OMF,8,3,0.089738343,2.483629517,WF_NSR98-10_Baja_20P_3L8PushData
818,6,NSR98-10,WF,IMF,8,5,0.218947892,2.795517967,WF_NSR98-10_Intermedia_6P_5L8PushData
819,6,NSR98-10,WF,IMF,8,3,0.227229703,2.88304663,WF_NSR98-10_Intermedia_6P_3L8PushData
820,7,NSR98-10,WF,IMF,8,5,0.214125318,2.405032334,WF_NSR98-10_Intermedia_7P_5L8PushData
821,7,NSR98-10,WF,IMF,8,3,0.224583496,2.540982705,WF_NSR98-10_Intermedia_7P_3L8PushData
822,8,NSR98-10,WF,IMF,8,5,0.196905988,2.167751967,WF_NSR98-10_Intermedia_8P_5L8PushData
823,8,NSR98-10,WF,IMF,8,3,0.217756874,3.33815084,WF_NSR98-10_Intermedia_8P_3L8PushData
826,12,NSR98-10,WF,IMF,8,5,0.148005498,3.444821019,WF_NSR98-10_Intermedia_12P_5L8PushData
827,12,NSR98-10,WF,IMF,8,3,0.154966585,3.34613212,WF_NSR98-10_Intermedia_12P_3L8PushData
836,6,NSR98-10,WF,SMF,8,5,0.270235681,3.013003559,WF_NSR98-10_Alta_6P_5L8PushData
837,6,NSR98-10,WF,SMF,8,3,0.291223568,2.871628901,WF_NSR98-10_Alta_6P_3L8PushData
838,7,NSR98-10,WF,SMF,8,5,0.268533995,2.236882418,WF_NSR98-10_Alta_7P_5L8PushData
839,7,NSR98-10,WF,SMF,8,3,0.303236926,2.522792101,WF_NSR98-10_Alta_7P_3L8PushData
840,8,NSR98-10,WF,SMF,8,5,0.249091088,2.199687922,WF_NSR98-10_Alta_8P_5L8PushData
841,8,NSR98-10,WF,SMF,8,3,0.27471299,3.646576878,WF_NSR98-10_Alta_8P_3L8PushData
842,10,NSR98-10,WF,SMF,8,5,0.206941939,2.391575039,WF_NSR98-10_Alta_10P_5L8PushData
843,10,NSR98-10,WF,SMF,8,3,0.222745178,3.609832431,WF_NSR98-10_Alta_10P_3L8PushData
844,12,NSR98-10,WF,SMF,8,5,0.173663707,3.170313926,WF_NSR98-10_Alta_12P_5L8PushData
845,12,NSR98-10,WF,SMF,8,3,0.176123237,3.57458826,WF_NSR98-10_Alta_12P_3L8PushData
846,14,NSR98-10,WF,SMF,8,5,0.14241342,3.178340249,WF_NSR98-10_Alta_14P_5L8PushData
