CODIGO INTERNO,# STOREY,Codigo,SYSTEM,Detailing,LBAYS (m),NBAYS,VbMax_W,SDR_at_0.8_Vb_W,Push_data
92,7,CCCSR-84,F,IMF,6,5,0.18888931,3.321047671,F_CCCSR-84_Intermedia_7P_5L6PushData
93,7,CCCSR-84,F,IMF,4,3,0.141369466,2.817590262,F_CCCSR-84_Intermedia_7P_3L4PushData
95,7,CCCSR-84,F,IMF,8,3,0.192251655,1.965307587,F_CCCSR-84_Intermedia_7P_3L8PushData
96,8,CCCSR-84,F,IMF,4,5,0.139525739,2.425886939,F_CCCSR-84_Intermedia_8P_5L4PushData
97,8,CCCSR-84,F,IMF,6,5,0.169371089,2.972290335,F_CCCSR-84_Intermedia_8P_5L6PushData
98,8,CCCSR-84,F,IMF,4,3,0.135696939,2.25613197,F_CCCSR-84_Intermedia_8P_3L4PushData
100,8,CCCSR-84,F,IMF,8,3,0.180394158,2.387738732,F_CCCSR-84_Intermedia_8P_3L8PushData
101,10,CCCSR-84,F,IMF,4,5,0.119995393,2.724688501,F_CCCSR-84_Intermedia_10P_5L4PushData
102,10,CCCSR-84,F,IMF,6,5,0.148030509,2.805039161,F_CCCSR-84_Intermedia_10P_5L6PushData
103,10,CCCSR-84,F,IMF,4,3,0.119923619,2.469595366,F_CCCSR-84_Intermedia_10P_3L4PushData
105,10,CCCSR-84,F,IMF,8,3,0.167330651,2.84669747,F_CCCSR-84_Intermedia_10P_3L8PushData
126,2,CCCSR-84,F,SMF,4,5,0.213548368,6.291949673,F_CCCSR-84_Alta_2P_5L4PushData
127,2,CCCSR-84,F,SMF,6,5,0.258226958,4.657696467,F_CCCSR-84_Alta_2P_5L6PushData
128,2,CCCSR-84,F,SMF,4,3,0.236732273,6.913143936,F_CCCSR-84_Alta_2P_3L4PushData
130,2,CCCSR-84,F,SMF,8,3,0.427648066,4.84228265,F_CCCSR-84_Alta_2P_3L8PushData
131,3,CCCSR-84,F,SMF,4,5,0.203450426,4.220321928,F_CCCSR-84_Alta_3P_5L4PushData
132,3,CCCSR-84,F,SMF,6,5,0.267629404,3.473403652,F_CCCSR-84_Alta_3P_5L6PushData
133,3,CCCSR-84,F,SMF,4,3,0.211742564,3.593100951,F_CCCSR-84_Alta_3P_3L4PushData
135,3,CCCSR-84,F,SMF,8,3,0.329282376,3.325197153,F_CCCSR-84_Alta_3P_3L8PushData
136,4,CCCSR-84,F,SMF,4,5,0.185821842,3.558916678,F_CCCSR-84_Alta_4P_5L4PushData
137,4,CCCSR-84,F,SMF,6,5,0.225840119,2.582666591,F_CCCSR-84_Alta_4P_5L6PushData
138,4,CCCSR-84,F,SMF,4,3,0.185425111,4.370243801,F_CCCSR-84_Alta_4P_3L4PushData
140,4,CCCSR-84,F,SMF,8,3,0.268045589,2.187772303,F_CCCSR-84_Alta_4P_3L8PushData
141,5,CCCSR-84,F,SMF,4,5,0.161655302,3.476762812,F_CCCSR-84_Alta_5P_5L4PushData
142,5,CCCSR-84,F,SMF,6,5,0.191755311,2.611613332,F_CCCSR-84_Alta_5P_5L6PushData
143,5,CCCSR-84,F,SMF,4,3,0.16786594,3.715937955,F_CCCSR-84_Alta_5P_3L4PushData
145,5,CCCSR-84,F,SMF,8,3,0.232363353,2.356008837,F_CCCSR-84_Alta_5P_3L8PushData
146.1,6,CCCSR-84,F,SMF,4,5,0.14988303,2.79467109,F_CCCSR-84_Alta_6P_5L4MPushData
147,6,CCCSR-84,F,SMF,6,5,0.176488167,3.068381625,F_CCCSR-84_Alta_6P_5L6PushData
148,6,CCCSR-84,F,SMF,4,3,0.152340012,3.81289002,F_CCCSR-84_Alta_6P_3L4PushData
150,6,CCCSR-84,F,SMF,8,3,0.206765628,2.877030019,F_CCCSR-84_Alta_6P_3L8PushData
151,7,CCCSR-84,F,SMF,4,5,0.134609692,2.670402372,F_CCCSR-84_Alta_7P_5L4PushData
152.1,7,CCCSR-84,F,SMF,6,5,0.18116251,3.520203198,F_CCCSR-84_Alta_7P_5L6MPushData
153,7,CCCSR-84,F,SMF,4,3,0.13344084,3.273894889,F_CCCSR-84_Alta_7P_3L4PushData
155,7,CCCSR-84,F,SMF,8,3,0.217768378,4.036457487,F_CCCSR-84_Alta_7P_3L8PushData
156.1,8,CCCSR-84,F,SMF,4,5,0.123563846,2.812234848,F_CCCSR-84_Alta_8P_5L4MPushData
157.1,8,CCCSR-84,F,SMF,6,5,0.158969746,3.308467855,F_CCCSR-84_Alta_8P_5L6MPushData
158,8,CCCSR-84,F,SMF,4,3,0.119203351,2.886761292,F_CCCSR-84_Alta_8P_3L4PushData
160,8,CCCSR-84,F,SMF,8,3,0.193489215,3.887515813,F_CCCSR-84_Alta_8P_3L8PushData
161.1,10,CCCSR-84,F,SMF,4,5,0.107744275,2.893263684,F_CCCSR-84_Alta_10P_5L4MPushData
162.1,10,CCCSR-84,F,SMF,6,5,0.140033672,3.643953651,F_CCCSR-84_Alta_10P_5L6MPushData
163,10,CCCSR-84,F,SMF,4,3,0.107176615,2.999910985,F_CCCSR-84_Alta_10P_3L4PushData
165,10,CCCSR-84,F,SMF,8,3,0.167508324,3.761274686,F_CCCSR-84_Alta_10P_3L8PushData
187,2,NSR98-10,F,OMF,4,5,0.214184152,5.013342032,F_NSR98-10_Baja_2P_5L4PushData
189,2,NSR98-10,F,OMF,8,5,0.269204494,2.952228097,F_NSR98-10_Baja_2P_5L8PushData
190,2,NSR98-10,F,OMF,4,3,0.22993087,5.74402309,F_NSR98-10_Baja_2P_3L4PushData
192,2,NSR98-10,F,OMF,8,3,0.251308593,3.332224339,F_NSR98-10_Baja_2P_3L8PushData
193,3,NSR98-10,F,OMF,4,5,0.214023651,3.52203239,F_NSR98-10_Baja_3P_5L4PushData
195,3,NSR98-10,F,OMF,8,5,0.267734078,1.752272943,F_NSR98-10_Baja_3P_5L8PushData
196,3,NSR98-10,F,OMF,4,3,0.204016214,3.777562943,F_NSR98-10_Baja_3P_3L4PushData
198,3,NSR98-10,F,OMF,8,3,0.299244717,2.041212341,F_NSR98-10_Baja_3P_3L8PushData
199,4,NSR98-10,F,OMF,4,5,0.179429847,5.201671061,F_NSR98-10_Baja_4P_5L4PushData
201,4,NSR98-10,F,OMF,8,5,0.211909847,2.662343033,F_NSR98-10_Baja_4P_5L8PushData
202,4,NSR98-10,F,OMF,4,3,0.192985765,5.158571619,F_NSR98-10_Baja_4P_3L4PushData
204,4,NSR98-10,F,OMF,8,3,0.237304663,3.02002593,F_NSR98-10_Baja_4P_3L8PushData
205,5,NSR98-10,F,OMF,4,5,0.171812271,3.602481306,F_NSR98-10_Baja_5P_5L4PushData
207,5,NSR98-10,F,OMF,8,5,0.223025023,2.340170637,F_NSR98-10_Baja_5P_5L8PushData
208.1,5,NSR98-10,F,OMF,4,3,0.197100251,5.439320093,F_NSR98-10_Baja_5P_3L4MPushData
210,5,NSR98-10,F,OMF,8,3,0.233595228,3.793051925,F_NSR98-10_Baja_5P_3L8PushData
211,6,NSR98-10,F,OMF,4,5,0.157987354,4.309560776,F_NSR98-10_Baja_6P_5L4PushData
213.1,6,NSR98-10,F,OMF,8,5,0.197241295,1.754616631,F_NSR98-10_Baja_6P_5L8MPushData
214,6,NSR98-10,F,OMF,4,3,0.163611919,4.671562435,F_NSR98-10_Baja_6P_3L4PushData
216,6,NSR98-10,F,OMF,8,3,0.200971976,1.973302663,F_NSR98-10_Baja_6P_3L8PushData
217,7,NSR98-10,F,OMF,4,5,0.141262375,4.784721574,F_NSR98-10_Baja_7P_5L4PushData
219.1,7,NSR98-10,F,OMF,8,5,0.173528951,2.089593886,F_NSR98-10_Baja_7P_5L8MPushData
220,7,NSR98-10,F,OMF,4,3,0.148863447,5.891714238,F_NSR98-10_Baja_7P_3L4PushData
222.1,7,NSR98-10,F,OMF,8,3,0.171277192,1.982913314,F_NSR98-10_Baja_7P_3L8MPushData
223,8,NSR98-10,F,OMF,4,5,0.130749573,5.374883635,F_NSR98-10_Baja_8P_5L4PushData
225.1,8,NSR98-10,F,OMF,8,5,0.156438161,1.975167307,F_NSR98-10_Baja_8P_5L8MPushData
226,8,NSR98-10,F,OMF,4,3,0.133907223,4.295174296,F_NSR98-10_Baja_8P_3L4PushData
228.1,8,NSR98-10,F,OMF,8,3,0.153316348,1.755868813,F_NSR98-10_Baja_8P_3L8MPushData
229,10,NSR98-10,F,OMF,4,5,0.114379981,4.423376697,F_NSR98-10_Baja_10P_5L4PushData
231.1,10,NSR98-10,F,OMF,8,5,0.132416401,1.612156224,F_NSR98-10_Baja_10P_5L8MPushData
232,10,NSR98-10,F,OMF,4,3,0.111768266,5.65754751,F_NSR98-10_Baja_10P_3L4PushData
234.1,10,NSR98-10,F,OMF,8,3,0.134930284,1.951900291,F_NSR98-10_Baja_10P_3L8MPushData
259,2,NSR98-10,F,IMF,4,5,0.285271717,4.41005843,F_NSR98-10_Intermedia_2P_5L4PushData
261,2,NSR98-10,F,IMF,8,5,0.42005871,3.254116935,F_NSR98-10_Intermedia_2P_5L8PushData
262,2,NSR98-10,F,IMF,4,3,0.275327653,5.526040108,F_NSR98-10_Intermedia_2P_3L4PushData
264,2,NSR98-10,F,IMF,8,3,0.434348015,3.033009444,F_NSR98-10_Intermedia_2P_3L8PushData
265,3,NSR98-10,F,IMF,4,5,0.208082903,3.282712199,F_NSR98-10_Intermedia_3P_5L4PushData
267,3,NSR98-10,F,IMF,8,5,0.329426125,2.829607823,F_NSR98-10_Intermedia_3P_5L8PushData
268,3,NSR98-10,F,IMF,4,3,0.217130011,4.06877844,F_NSR98-10_Intermedia_3P_3L4PushData
270.1,3,NSR98-10,F,IMF,8,3,0.300431316,2.822010973,F_NSR98-10_Intermedia_3P_3L8MPushData
271.1,4,NSR98-10,F,IMF,4,5,0.191443918,3.397877832,F_NSR98-10_Intermedia_4P_5L4MPushData
273,4,NSR98-10,F,IMF,8,5,0.275552167,2.634651954,F_NSR98-10_Intermedia_4P_5L8PushData
274.1,4,NSR98-10,F,IMF,4,3,0.190698515,3.958553165,F_NSR98-10_Intermedia_4P_3L4MPushData
276,4,NSR98-10,F,IMF,8,3,0.277523247,2.703917484,F_NSR98-10_Intermedia_4P_3L8PushData
277,5,NSR98-10,F,IMF,4,5,0.185547874,2.983413037,F_NSR98-10_Intermedia_5P_5L4PushData
279.1,5,NSR98-10,F,IMF,8,5,0.211179431,2.392723121,F_NSR98-10_Intermedia_5P_5L8MPushData
280,5,NSR98-10,F,IMF,4,3,0.182174221,3.568637807,F_NSR98-10_Intermedia_5P_3L4PushData
282,5,NSR98-10,F,IMF,8,3,0.230900034,3.1585783,F_NSR98-10_Intermedia_5P_3L8PushData
283,6,NSR98-10,F,IMF,4,5,0.165592006,3.52247674,F_NSR98-10_Intermedia_6P_5L4PushData
285.1,6,NSR98-10,F,IMF,8,5,0.211325038,2.598620303,F_NSR98-10_Intermedia_6P_5L8MPushData
286.1,6,NSR98-10,F,IMF,4,3,0.1507729,3.926449212,F_NSR98-10_Intermedia_6P_3L4MPushData
288.1,6,NSR98-10,F,IMF,8,3,0.215657105,2.870833977,F_NSR98-10_Intermedia_6P_3L8MPushData
289,7,NSR98-10,F,IMF,4,5,0.148550964,2.937882031,F_NSR98-10_Intermedia_7P_5L4PushData
291.1,7,NSR98-10,F,IMF,8,5,0.185828606,2.652158388,F_NSR98-10_Intermedia_7P_5L8MPushData
